caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,period,2,80,12.000,-0.006,0.667,0.481,0.766,0.794,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,period,3,80,12.000,0.019,0.707,0.478,0.767,0.793,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,period,4,80,12.000,0.032,0.782,0.477,0.765,0.794,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,period,1,80,9.000,0.043,1.365,0.598,0.714,0.754,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,period,2,80,9.000,0.045,1.366,0.598,0.716,0.757,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,period,3,80,9.000,0.044,1.383,0.598,0.710,0.756,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,period,4,80,9.000,0.027,1.389,0.602,0.716,0.755,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,period,1,80,9.000,0.026,1.182,0.588,0.698,0.676,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,period,2,80,9.000,0.025,1.194,0.590,0.697,0.676,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,period,3,80,9.000,-0.015,1.211,0.590,0.699,0.678,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,period,4,80,9.000,0.014,1.316,0.587,0.692,0.677,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,1,80,15.000,-0.004,0.831,0.500,0.755,0.802,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,2,80,15.000,0.013,0.886,0.500,0.754,0.801,0.464,6.966
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,3,80,15.000,-0.015,0.906,0.502,0.754,0.803,0.464,6.966
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,4,80,15.000,0.008,0.967,0.501,0.757,0.803,0.464,6.966
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,current-federal-court,Current-style federal supreme court,period,1,80,9.000,0.075,1.322,0.636,0.710,0.797,0.000,0.000
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,current-federal-court,Current-style federal supreme court,period,2,80,9.000,0.064,1.377,0.636,0.707,0.797,0.145,1.307
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,current-federal-court,Current-style federal supreme court,period,3,80,9.000,0.070,1.405,0.639,0.703,0.799,0.145,1.307
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,current-federal-court,Current-style federal supreme court,period,4,80,9.000,0.073,1.368,0.641,0.705,0.796,0.145,1.307
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,80,9.000,0.028,1.336,0.618,0.711,0.780,0.000,0.000
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,80,9.000,0.027,1.350,0.618,0.710,0.780,0.362,3.258
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,80,9.000,0.043,1.384,0.618,0.713,0.780,0.362,3.258
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,80,9.000,0.042,1.402,0.620,0.706,0.781,0.362,3.258
low-emergency-pressure,Low emergency pressure,Lower urgency and emergency docket pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,80,15.000,-0.002,0.836,0.531,0.733,0.779,0.000,0.000
