profile,context,scenario,administrativeLoad,averageLegislativeResponseDelay,averageTimeToReview,capacityStrainCost,caseSelectionAccess,complianceRate,constitutionalConflict,councilScreenRate,democraticResponsiveness,directCourtCost,emergencyOrders,emergencyReasonGivingRate,institutionalDelayCost,intakeAcceptanceRate,legalStability,legislativeResponseCredibility,legislativeResponseRate,legitimacy,meritsFollowUpRate,rightsProtection,shadowDocketAbuse,timelyLegislativeResponseRate,totalInstitutionalCost,upstreamScreeningCost,vetoRelocationRisk
frozen-generator,baseline,current-federal-court,0.47644946828393064,0.0,0.6065182197314828,0.41583350814828635,0.42584082859287187,0.4321875,0.31565264960957085,0.0,0.42011629761376873,0.30595855746271444,32.333333333333336,0.02046651235826867,0.4368156935809674,0.02318920164137291,0.8191912950444294,0.5501838674139401,0.0,0.5981017538475601,0.0,0.6981737227363223,0.32111773985363634,0.0,0.4484872567442276,0.6845525174033344,0.5280811436240481
frozen-generator,baseline,reasoned-emergency-review,0.456547801617264,0.0,0.6065182197314828,0.40718725277243756,0.4257280977982186,0.6390625,0.22353853451606984,0.0,0.4643804436834473,0.30921457412938114,6.125,0.8647342472342473,0.44501308301658005,0.0223001305414534,0.9105095483399782,0.5922422007472734,0.0,0.748203738226601,0.9916666666666667,0.7416821057439861,0.001218156948969284,0.0,0.4582892937447396,0.6869289593395612,0.44398645291568906
frozen-generator,baseline,constitutional-council,0.7245569682839308,0.0,0.6065182197314828,0.4801619443759938,0.42574967541725534,0.7452083333333334,0.22182514975543002,1.0,0.47263212293931484,0.4419388074627145,11.108333333333333,0.7077980325774443,0.5125002970001714,0.022466566066204847,0.9579898494930146,0.5843422007472735,0.0,0.7614331945576165,0.14029525648643296,0.7392969292356494,0.05102323434846867,0.0,0.5315542681327382,0.6864722717448954,0.6615911026969626
frozen-generator,baseline,weak-form-review,0.4640080099505973,0.41566108479126257,0.6065182197314828,0.289717574236895,0.5366976595518024,0.8073958333333333,0.19596290880833572,0.0,0.5024189843956389,0.3104671157960478,11.116666666666667,0.6882761219187302,0.409330678472339,0.905240551230874,0.9691918962953936,0.6147484507472734,0.31958333333333333,0.7675071517550662,0.15178117272447766,0.7227976722420496,0.05054631551092788,0.060816451995616964,0.35593857254059846,0.3893665602862474,0.18177882587910338
frozen-generator,baseline,reasoned-with-fast-procedure,0.48968863495059733,0.0,0.6065182197314828,0.43151945583611134,0.4258427862052144,0.47291666666666665,0.30960364824572195,0.0,0.42613442047963496,0.3118335907960478,32.766666666666666,0.16937997113570982,0.4383892991464685,0.02320787941555101,0.8353165374712347,0.5796505340806067,0.0,0.6757723645566642,0.0,0.7032666063184577,0.30935462668152225,0.0,0.45389318548474533,0.6845073639350718,0.44106362733636656
frozen-generator,baseline,council-with-full-court-structure,0.4841673849505973,0.0,0.6065182197314828,0.4367637489582944,0.42574869738042265,0.7579166666666667,0.22192347063107817,0.0,0.47201670903507514,0.34467764079604785,10.916666666666666,0.7164769251717781,0.4465940141082362,0.022456746769443894,0.9336015735069415,0.58450886741394,0.0,0.7614108398931261,0.14765416976814033,0.7388994613817608,0.05020197115196291,0.0,0.4812395646839941,0.6864957911183465,0.42167833222520323
frozen-generator,baseline,weak-form-half-response,0.464075301617264,0.4977318604772361,0.6065182197314828,0.28957562712199214,0.5368039095518023,0.8,0.2120498206152361,0.0,0.47751655546434235,0.3105276241293812,10.95,0.6851031206710386,0.4049898720141309,0.9068707679200837,0.9648585986202561,0.30731797537363664,0.15864583333333335,0.7443725713858119,0.14834775124829305,0.7098934585435964,0.050299470929721896,0.0,0.3543889440406309,0.3893229708638932,0.20755219725927684
frozen-generator,baseline,weak-form-no-response,0.46431925995059736,0.0,0.6065182197314828,0.2896951271784399,0.5367789095518024,0.7908333333333334,0.22758208447079342,0.0,0.4538789181640558,0.31057301579604785,11.041666666666666,0.7130255479026764,0.400657709320474,0.9065489120641651,0.9607803980813572,0.0,0.0,0.7252217634223703,0.15374108133009062,0.7017269995708791,0.05025157181332633,0.0,0.3529199454882213,0.3893332271985648,0.23280131225423611
frozen-generator,emergencyPressure-low,current-federal-court,0.4441726273182626,0.0,0.636896147174486,0.3910783428709018,0.4259816386766989,0.5366666666666667,0.23657144726562587,0.0,0.4567687251676444,0.303358785185461,4.858333333333333,0.021405723905723907,0.44790367493779903,0.022258493430289742,0.8872150638896178,0.5617342102633405,0.0,0.662299218072409,0.0,0.7346610095233124,0.04608486033091536,0.0,0.4442568654741593,0.6864976865548322,0.530265391029123
frozen-generator,emergencyPressure-low,reasoned-emergency-review,0.4509961689849293,0.0,0.636896147174486,0.4019726064843411,0.4259609772412165,0.6832291666666667,0.22100754669813893,0.0,0.4665644659036729,0.30875619351879435,0.016666666666666666,0.008333333333333333,0.4507916020189599,0.02210451332973955,0.9107131278195149,0.5924842102633404,0.0,0.750526642696898,0.016666666666666666,0.7421883632782447,1.6136113115941587e-05,0.0,0.45796930586833284,0.6869316007249912,0.4434805545025876
frozen-generator,emergencyPressure-low,constitutional-council,0.712443460651596,0.0,0.636896147174486,0.47033888952905906,0.42596101080547705,0.7827083333333333,0.20501706209975212,1.0,0.4797237250086769,0.44088685185212767,0.025,0.025,0.5195089879022533,0.022104765132953546,0.9718433585076958,0.5859925435966739,0.0,0.7768731320011113,0.016666666666666666,0.7442907365231552,6.383443808117648e-05,0.0,0.5302803845540579,0.686930881542068,0.6612468726775997
frozen-generator,emergencyPressure-low,weak-form-review,0.452302210651596,0.41546772079259575,0.636896147174486,0.27756187858180287,0.5432815321307011,0.8378125,0.17815503769556343,0.0,0.5105094834332946,0.3095314018521277,0.025,0.025,0.4163688121393,0.9997942386831276,0.9844949748917181,0.620057126930007,0.34322916666666664,0.8145279095686941,0.016666666666666666,0.7291671628035764,7.655453185971758e-05,0.08294049438651223,0.35350461106034453,0.38622550262118394,0.17249527157569458
frozen-generator,emergencyPressure-low,reasoned-with-fast-procedure,0.45765512731826263,0.0,0.636896147174486,0.40699356411103843,0.42598480550828166,0.6015625,0.2347532653663879,0.0,0.4597344677462409,0.309235285185461,5.558333333333334,0.17830026455026454,0.4494096549602346,0.022282534704417562,0.8984349971104546,0.5900842102633403,0.0,0.7367050601713847,0.0,0.735822451378977,0.05044010907341385,0.0,0.4497006461026213,0.6864307434150373,0.44290955945597227
