profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,directCourtCost,registered-diagnostic,-0.09726116666666668,-0.09740105854166664,-0.09712717270833333,6.968595152110871e-05,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,upstreamScreeningCost,registered-component,2.3519373450966995e-05,-3.341189752854146e-05,8.292092466028912e-05,3.0041532823608794e-05,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,capacityStrainCost,registered-diagnostic,-0.04339819541769938,-0.04398288532117157,-0.04283163804122009,0.00030096406772096845,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,totalInstitutionalCost,registered-diagnostic,-0.05031470344874413,-0.0504444157092254,-0.05018743459953447,6.479252640115529e-05,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,intakeAcceptanceRate,registered-diagnostic,-9.819296760952157e-06,-3.200633385332073e-05,1.1237846901025431e-05,1.0996664116892223e-05,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,councilScreenRate,registered-component,-1.0,-1.0,-1.0,0.0,120,2000
frozen-generator,baseline,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,administrativeLoad,additional-diagnostic,-0.24038958333333346,-0.24129399479166674,-0.2394893593750001,0.0004500881666793504,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,legislativeResponseRate,registered-component,-0.1609375,-0.1703125,-0.15208333333333332,0.004817581169303651,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,legislativeResponseCredibility,registered-component,-0.30743047537363666,-0.30871672674079115,-0.3061352440436129,0.0006687262951082772,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,timelyLegislativeResponseRate,registered-component,-0.060816451995616964,-0.07129502505000695,-0.05101488668098219,0.005327491167748749,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,rightsProtection,registered-component,-0.012904213698453133,-0.013925849931202857,-0.01191353478317642,0.0005241595073147034,120,2000
frozen-generator,baseline,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,complianceRate,registered-component,-0.007395833333333329,-0.02396093749999999,0.009583333333333336,0.008684599314894775,120,2000
