caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,2,120,18.000,-0.009,0.867,0.512,0.749,0.805,0.456,8.208
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,3,120,18.000,-0.013,0.914,0.511,0.746,0.804,0.456,8.208
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,period,4,120,18.000,-0.014,0.947,0.511,0.749,0.806,0.456,8.208
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-council,Pre-enactment constitutional council,period,1,120,12.000,-0.000,0.608,0.478,0.767,0.795,0.000,0.000
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-council,Pre-enactment constitutional council,period,2,120,12.000,0.011,0.666,0.480,0.764,0.795,0.717,8.604
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-council,Pre-enactment constitutional council,period,3,120,12.000,0.032,0.709,0.478,0.767,0.794,0.717,8.604
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-council,Pre-enactment constitutional council,period,4,120,12.000,0.011,0.813,0.479,0.765,0.794,0.717,8.604
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,legislative-override-court,Judicial review with delayed legislative override,period,1,120,9.000,0.040,1.356,0.597,0.715,0.753,0.000,0.000
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,legislative-override-court,Judicial review with delayed legislative override,period,2,120,9.000,0.053,1.371,0.599,0.717,0.757,0.384,3.460
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,legislative-override-court,Judicial review with delayed legislative override,period,3,120,9.000,0.045,1.393,0.598,0.712,0.755,0.384,3.460
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,legislative-override-court,Judicial review with delayed legislative override,period,4,120,9.000,0.027,1.389,0.601,0.717,0.756,0.384,3.460
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,accountability-retention-court,Retention-election accountability court,period,1,120,9.000,0.025,1.150,0.587,0.697,0.675,0.000,0.000
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,accountability-retention-court,Retention-election accountability court,period,2,120,9.000,0.041,1.186,0.589,0.695,0.677,0.929,8.363
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,accountability-retention-court,Retention-election accountability court,period,3,120,9.000,0.011,1.217,0.590,0.699,0.678,0.929,8.363
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,accountability-retention-court,Retention-election accountability court,period,4,120,9.000,0.039,1.296,0.588,0.693,0.678,0.929,8.363
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,1,120,15.000,0.000,0.822,0.501,0.755,0.803,0.000,0.000
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,2,120,15.000,0.002,0.874,0.500,0.756,0.802,0.464,6.966
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,period,3,120,15.000,-0.018,0.905,0.501,0.754,0.803,0.464,6.966
